variable,dummyVariable,typeEnd,databaseStart,variableStart,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,Func::SurveyCycle.fun,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,1,7,cchs2001_p,2001 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,2,7,cchs2003_p,2003 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,3,7,cchs2005_p,2005 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,4,7,cchs2007_2008_p,2007 to 2008 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,5,7,cchs2009_2010_p,2009 to 2010 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,6,7,cchs2012_p,2012 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,7,7,cchs2013_2014_p,2013 to 2014 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
resp_cond_der_2,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[resp_condition_der],cat,1,2,Yes,"Has respiratory condition: Asthma, COPD/Emphysema, Bronchitis",N/A,1,Over 35 years with condition,Respiratory condition,Respiratory condition,
resp_cond_der_2,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[resp_condition_der],cat,1,2,Yes,"Has respiratory condition: Asthma, COPD/Emphysema, Bronchitis",N/A,2,Under 35 years with condition,Respiratory condition,Respiratory condition,
resp_cond_der_2,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[resp_condition_der],cat,2,2,No,"Does not have any of Asthma, COPD/Emphysema or Bronchitis",N/A,3,No condition,Respiratory condition,Respiratory condition,
