variable,dummyVariable,typeEnd,databaseStart,variableStart,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes
SMKDSTY,SMKDSTY_cat6_1,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, [SMKDSTY]",cat,1,6,Daily,Daily smoker,N/A,1,Daily,Smoke status,Type of smoker - (D),
SMKDSTY,SMKDSTY_cat6_2,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, [SMKDSTY]",cat,2,6,Occassional (former daily),Former daily current occasional smoker,N/A,2,Occassional,Smoke status,Type of smoker - (D),
SMKDSTY,SMKDSTY_cat6_3,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, [SMKDSTY]",cat,3,6,Always occassional,Never daily current occasional smoker,N/A,3,Always occassional,Smoke status,Type of smoker - (D),
SMKDSTY,SMKDSTY_cat6_4,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, [SMKDSTY]",cat,4,6,Former daily,Former daily current nonsmoker,N/A,4,Former daily,Smoke status,Type of smoker - (D),
SMKDSTY,SMKDSTY_cat6_5,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, [SMKDSTY]",cat,5,6,Former occasional,Never daily current nonsmoker (former occasional),N/A,5,Former occasional,Smoke status,Type of smoker - (D),
SMKDSTY,SMKDSTY_cat6_6,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, [SMKDSTY]",cat,6,6,Never smoked,Never smoked,N/A,6,Never smoked,Smoke status,Type of smoker - (D),
SMKDSTY,SMKDSTY_cat6_NA::a,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, [SMKDSTY]",cat,NA::a,6,not applicable,not applicable,N/A,96,not applicable,Smoke status,Type of smoker - (D),
SMKDSTY,SMKDSTY_cat6_NA::b,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, [SMKDSTY]",cat,NA::b,6,missing,missing,N/A,"[97,99]",don't know (97); refusal (98); not stated (99),Smoke status,Type of smoker - (D),
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,cchs2001_p,10,2001,2001 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
SurveyCycle,N/A,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],N/A,cchs2003_p,10,2003,2003 cycle,N/A,N/A,N/A,Dataset name,Dataset name,
